,App_MyTT,ARPU_Nov24,ARPU_Dec24,ARPU_Jan25,Min_TT_Nov24,Min_TT_Dec24,Min_TT_Jan25,Min_HorsTT_Nov24,Min_HorsTT_Dec24,Min_HorsTT_Jan25,Min_TT_ServiceClient_Nov24,Min_TT_ServiceClient_Dec24,Min_TT_ServiceClient_Jan25,Nbr_Recharges_Nov24,Nbr_Recharges_Dec24,Nbr_Recharges_Jan25,Volume_Data_Nov24,Volume_Data_Dec24,Volume_Data_Jan25,Ancienneté_Abonné,Résiliation
App_MyTT,1.0,0.6004048624342023,0.6657400247627914,0.6234252240511414,0.3867029030309998,0.43668281259275893,0.40950645897097143,0.446700803254795,0.5027669320115319,0.4717551576662272,0.05924892185243878,0.07656046196020289,0.07952351186435101,0.365240357718091,0.36991414228858654,0.3300484356379233,0.16165192685222346,0.1834657982645553,0.18930679651750393,0.032857697051884294,0.13298220992144666
ARPU_Nov24,0.6004048624342023,1.0,0.6287963842109664,0.4818986463769714,0.6304060465523377,0.43849002169812906,0.35524939854600485,0.7387547616453282,0.5029921744529188,0.4071109748934475,0.12466515881206086,0.05209802064683295,0.04141029902313013,0.6398990084003973,0.3005975554253636,0.17625390935867907,0.2693546099616787,0.1813396097823903,0.1635479560346165,0.02917226413498201,0.02710155071536994
ARPU_Dec24,0.6657400247627914,0.6287963842109664,1.0,0.6827986998597159,0.4256517928726567,0.6279325648149826,0.4732584961752786,0.49363341618245205,0.7374946874611276,0.5427424966475356,0.06380633309337266,0.13278361989301246,0.07870446496725335,0.40682920001761497,0.5951782535088685,0.37303770520070584,0.18204301684875443,0.28860042011864695,0.21059326953920585,0.04904608823025851,0.10419818457972073
ARPU_Jan25,0.6234252240511414,0.4818986463769714,0.6827986998597159,1.0,0.3169500244991143,0.4571316734209277,0.6350903965194074,0.36650092986782434,0.5331667033358097,0.7423197639694555,0.025658735840217845,0.07405851650072066,0.15070341095198445,0.2747335536460971,0.41121732944566985,0.595285340060805,0.15168971043377477,0.2073194840127164,0.3120793360951885,0.07723678645033427,0.20201080118784934
Min_TT_Nov24,0.3867029030309998,0.6304060465523377,0.4256517928726567,0.3169500244991143,1.0,0.7417395057541681,0.6382748340506484,0.5138753697980403,0.360824752723712,0.2906422280326474,0.10210771880336675,0.054907853793271566,0.0489522794764396,0.4325074898077442,0.21247384543066047,0.14347412834795334,0.094721993240755,0.10395821407663673,0.10296426424502486,0.05110753137208001,0.010683120299423882
Min_TT_Dec24,0.43668281259275893,0.43849002169812906,0.6279325648149826,0.4571316734209277,0.7417395057541681,1.0,0.7707786028941009,0.36311120900693994,0.5265152834315429,0.39515643141252127,0.06576379579152987,0.1079882922651373,0.08284700117556155,0.2907055530058349,0.3907499795099813,0.2654103243216307,0.11197503836514816,0.09187120200076858,0.09552559642218546,0.04685495903019172,0.03995988905081926
Min_TT_Jan25,0.40950645897097143,0.35524939854600485,0.4732584961752786,0.6350903965194074,0.6382748340506484,0.7707786028941009,1.0,0.28881816656962556,0.3992166013299257,0.5410521845845355,0.045668743399249576,0.07780086402345898,0.12385655050426747,0.21263495475924463,0.288629667799198,0.40359728747808066,0.10869499672885452,0.09610145420910382,0.07688114644312426,0.059554610581424854,0.032898878930370724
Min_HorsTT_Nov24,0.446700803254795,0.7387547616453282,0.49363341618245205,0.36650092986782434,0.5138753697980403,0.36311120900693994,0.28881816656962556,1.0,0.7132744273120384,0.5927493023594855,0.10904323398360483,0.0429783255951476,0.03472205104040455,0.47343164517602987,0.2130616648228312,0.11754095354111221,0.04988698173755915,0.06469211444203328,0.0636105903054725,0.08783974295527544,0.015123780381154153
Min_HorsTT_Dec24,0.5027669320115319,0.5029921744529188,0.7374946874611276,0.5331667033358097,0.360824752723712,0.5265152834315429,0.3992166013299257,0.7132744273120384,1.0,0.7508866025889411,0.050735396059605926,0.11969249813516855,0.07056700845924041,0.30506975362115263,0.4238141343765013,0.26161866802757305,0.07427339732470997,0.04851516293049602,0.05283708025799914,0.08230469125171802,0.04024603659185936
Min_HorsTT_Jan25,0.4717551576662272,0.4071109748934475,0.5427424966475356,0.7423197639694555,0.2906422280326474,0.39515643141252127,0.5410521845845355,0.5927493023594855,0.7508866025889411,1.0,0.023769953780835285,0.06561753001854308,0.13988760895601846,0.21798794475669822,0.2995973357003148,0.42234131467790714,0.07575288582805734,0.057507984415992065,0.03273438360483247,0.09449907530126868,0.038172921277481356
