Tenure_Bucket,Churn_Rate,Avg_ARPU,Avg_On_Net_Minutes,Avg_Off_Net_Minutes,Avg_Data_Volume,Customer_Count,Avg_Annual_Revenue,Revenue_At_Risk_Per_Customer,Total_Annual_Revenue,Total_Revenue_At_Risk
<6 months,9.090909090909092,204.93721212121213,94.95450000000001,123.8995,159.97515151515154,66,2459.2465454545454,223.56786776859505,162310.272,14755.479272727272
6-12 months,4.779720054183061,266.2477506934142,133.7807742250768,197.36687447640324,207.12374572663356,15503,3194.9730083209706,152.71076560445326,49531666.54800001,2367474.999165839
12-24 months,2.879993369799436,271.5481572186309,146.47643556531284,203.85564127332603,186.29215730150835,24132,3258.5778866235705,93.84682708450943,78636001.56,2264711.6312033813
>24 months,1.7354719957927953,288.1127261184779,125.22795380812607,192.47927564498687,174.26725949438412,53242,3457.3527134217347,60.001388137216544,184076373.168,3194593.907201683
